,location account #,business name,dba name,street address,city,location description,mailing address,mailing city,mailing zip code,naics,primary naics description,council district,location start date,location end date,location,zip_code
2916,0003290858-0001-1,FOOTHILL CORNER BALLROOM,,6864 Foothill,tujunga,6864 FOOTHILL 91042,6864 Foothill,Tujunga,91042-2711,722110,Full-service restaurants,7,01/12/2022,,"(34.2476, 34.2476)",91042
2917,0000107487-0001-9,NUMERO UNO #27 INC,NOMONO UNO 27 INC | NUMERO UNO WOODLAND HILLS,24335 VICTORY BLVD #C,west hills,24335 VICTORY 91307-2849,,,,722110,Full-service restaurants,3,05/01/2000,,"(34.1846, -118.6545)",91307
2918,0000732962-0001-5,TASIA P VLAHOS,PETE'S BLUE CHIP,1701 COLORADO BLVD,los angeles,1701 COLORADO 90041-1337,,,,722110,Full-service restaurants,14,01/01/2003,,"(34.1394, -118.2034)",90041
2919,0002599016-0001-9,THE CARVING BOARD LLC,,18607 VENTURA BLVD SUITE #100,tarzana,18607 VENTURA 91356-4168,18375 VENTURA BLVD #803,TARZANA,91356-4218,722110,Full-service restaurants,3,02/09/2012,,"(34.1698, -118.5387)",91356
2920,0000779063-0001-2,RASPADOXPRESS CO,,9765 LAUREL CANYON BLVD,pacoima,9765 LAUREL CANYON 91331-4108,,,,722110,Full-service restaurants,7,01/01/2003,,"(34.2471, -118.4198)",91331
2921,0003207012-0001-7,NEWGENTHAI CORP,SUSHI NEAR ME,5136   HOLLYWOOD BLVD,los angeles,5136 HOLLYWOOD 90027,5136   HOLLYWOOD BLVD,LOS ANGELES,90027-6106,722110,Full-service restaurants,13,08/11/2020,,"(34.1015, -118.3019)",90027
2922,0000286458-0001-1,JOE H TRING / ELAINE TRING,FRIED RICE EXPRESS,1828 MARENGO STREET,los angeles,1828 MARENGO 90033-1316,,,,722110,Full-service restaurants,14,03/01/2004,,"(34.0581, -118.2109)",90033
2923,0000748742-0001-1,ANA ROSA HERRERA ET AL,LA FLOR BLANCA,320 W VERNON AVENUE,los angeles,320 VERNON 90037,,,,722110,Full-service restaurants,9,06/17/1990,,"(34.0037, -118.2788)",90037
2924,0000267824-0001-0,MARIA ROMERO,RESTAURANTE MARIA,10915 SAN FERNANDO ROAD,pacoima,10915 SAN FERNANDO 91331-2658,10915 SAN FERNANDO ROAD,PACOIMA,91331-2658,722110,Full-service restaurants,7,11/08/2000,,"(34.2679, -118.424)",91331
2925,0002605413-0001-7,MASACASA LLC,MASACASA,1757 COLORADO BLVD,los angeles,1757 COLORADO 90041-1348,756 HYPERION AVENUE,LOS ANGELES,90029-3104,722110,Full-service restaurants,14,03/16/2012,,"(34.1394, -118.206)",90041
2926,0002713020-0001-1,"VENTURA BLVD. CHICKEN, INC",ZANKOU CHICKEN,19598 VENTURA BLVD,tarzana,19598 VENTURA 91356-2917,,,,722110,Full-service restaurants,3,11/13/2013,,"(34.1727, -118.5599)",91356
2927,0000005775-0006-1,PANDHER FAST FOOD INC,SUBWAY,12771 VAN NUYS BLVD,pacoima,12771 VAN NUYS 91331-1627,,,,722110,Full-service restaurants,7,06/22/2002,,"(34.2742, -118.4109)",91331
2928,0000499009-0001-4,CATERING BY ANDREA LLC,CATERING BY ANDREA,751 LEVERING AVENUE,los angeles,751 LEVERING 90024-2747,,,,722110,Full-service restaurants,5,09/25/2001,,"(34.0647, -118.4501)",90024
2929,0002586468-0001-1,MILITON AREVALO,RESTAURANTE PUPUSERIA CONY,1564 W ADAMS BLVD,los angeles,1564 ADAMS 90007-1513,,,,722110,Full-service restaurants,8,11/03/2011,,"(34.0327, -118.2965)",90007
2930,0000858320-0001-4,NUTRIFIT LLC,NUTRIFIT LLC,11692 GATEWAY BLVD,los angeles,11692 GATEWAY 90064-2829,11692 GATEWAY BLVD,LOS ANGELES,90064-2829,722110,Full-service restaurants,11,07/16/1991,,"(34.0286, -118.4431)",90064
2931,0002751622-0001-1,2ND FLOOR LA INC,,865 S VERMONT AVENUE,los angeles,865 VERMONT 90005-1522,444 S OCCIDENTAL BLVD APT #422,LOS ANGELES,90057-1518,722110,Full-service restaurants,10,05/15/2014,,"(34.0564, -118.2916)",90005
2932,0000855031-0001-6,SHALA JOOBANDI/ALI VAKILI,CICCEROS PIZZA #2,11651 W PICO BLVD #D,los angeles,11651 PICO 90064-2917,10357 ARTESIA BLVD,BELLFLOWER,90706-6721,722110,Full-service restaurants,11,09/01/1993,,"(34.0321, -118.4446)",90064
2933,0000253133-0001-6,HAI MING LAM,HO HO KITCHEN,5677 W PICO BLVD #7,los angeles,5677 PICO 90019-3875,,,,722110,Full-service restaurants,10,08/08/1995,,"(34.0505, -118.362)",90019
2934,0000130792-0001-2,"STERLING CUISINE, INC",,20839 VENTURA BLVD,woodland hills,20839 VENTURA 91364-2319,2115 MCPHERSON PLACE,LOS ANGELES,90032-3823,722110,Full-service restaurants,3,08/01/2004,,"(34.1663, -118.5864)",91364
2935,0000945101-0001-2,DINING TRADITION INC,THAI DISHES,6234 W MANCHESTER AVENUE,los angeles,6234 MANCHESTER 90045-3801,,,,722110,Full-service restaurants,11,07/01/1999,,"(33.9598, -118.3943)",90045
2936,0000348471-0001-1,SERGIO/MARIA ESTHER VALDIVIA,TACOS DELTA,3806 W SUNSET BLVD,los angeles,3806 SUNSET 90026,,,,722110,Full-service restaurants,13,01/01/1981,,"(34.0909, -118.2788)",90026
2937,0002638008-0001-4,J HOWARD II LLC,,609 N LA BREA AVENUE,los angeles,609 LA BREA 90036-2013,,,,722110,Full-service restaurants,5,01/01/2013,,"(34.082, -118.344)",90036
2938,0002229068-0001-5,HONG EUN CHONG INC,CAFE SEOUL NANDARANG,3815 W 6TH STREET,los angeles,3815 6TH 90020-3901,,,,722110,Full-service restaurants,10,03/05/2007,,"(34.0635, -118.3057)",90020
2939,0000429067-0006-3,SOOD ENTERPRISES INC,JACK IN THE BOX #337,6847 VAN NUYS BLVD,van nuys,6847 VAN NUYS 91405-4627,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,6,09/06/1986,,"(34.1951, -118.4487)",91405
2940,0000716476-0001-2,GLADYS IDALIA GARCIA,LAS AMERICAS,15047 ROSCOE BLVD,panorama city,15047 ROSCOE 91402-4512,,,,722110,Full-service restaurants,6,08/09/2002,,"(34.2214, -118.4608)",91402
2941,0003220136-0001-2,"SPRING STREET BAR, LLC",SPRING STREET BAR,626 S SPRING STREET   UNIT #B,los angeles,626 SPRING 90014,,,,722110,Full-service restaurants,14,08/26/2020,,"(34.0451, -118.2513)",90014
2942,0000908955-0001-1,NATHAN MURRAY,AVALON GRILL,11913 AVALON BLVD,los angeles,11913 AVALON 90061-2836,,,,722110,Full-service restaurants,15,05/01/1999,,"(33.9245, -118.2651)",90061
2943,0002268969-0001-1,IGNACIO VARGAS,TONY'S MEXICAN GRILL,11856 1/2 BALBOA BLVD,granada hills,11856 BALBOA 91344-2761,,,,722110,Full-service restaurants,12,08/21/2007,,"(34.2856, -118.502)",91344
2944,0002745519-0001-3,"TOWN PIZZA, BEER & WINE",TOWN,5101 YORK BLVD,los angeles,5101 YORK 90042-1715,5101 YORK BLVD,LOS ANGELES,90042-1715,722110,Full-service restaurants,14,04/10/2014,,"(34.121, -118.2047)",90042
2945,0002488386-0001-0,REINA I AGUILA,BELLAS AGUILAS CAFE,3874 S WESTERN AVENUE,los angeles,3874 WESTERN 90062-1108,,,,722110,Full-service restaurants,8,04/01/2010,,"(34.0152, -118.3089)",90062
2946,0002514369-0001-8,EDIK VOSKANIAN,AMSTERDAM CAFE,10905 MAGNOLIA BLVD,north hollywood,10905 MAGNOLIA 91601-3904,,,,722110,Full-service restaurants,2,07/29/2010,,"(34.1649, -118.3671)",91601
2947,0002735513-0001-0,PASEO DE CAHUENGA LLC,MADERA 28,1835 N CAHUENGA BLVD,hollywood,1835 CAHUENGA 90028-5001,6646 HOLLYWOOD BLVD #212,HOLLYWOOD,90028-6229,722110,Full-service restaurants,13,03/15/2014,,"(34.1045, -118.33)",90028
2948,0000360508-0001-1,JIN WEN YU,1ST WOK,5565 W MANCHESTER AVENUE,los angeles,5565 MANCHESTER 90045-4413,,,,722110,Full-service restaurants,11,04/08/1996,,"(33.9599, -118.3783)",90045
2949,0002696433-0001-9,LILIAN GONZALEZ & AMALIA VILLATORO LEYVA,MARISCOS LA SERENATA VIP | MARISCOS LA SERENATA VIP INC,19265 ROSCOE BLVD,northridge,19265 ROSCOE 91324-4240,19265 ROSCOE BLVD,NORTHRIDGE,91324-4240,722110,Full-service restaurants,3,08/09/2013,,"(34.2204, -118.5528)",91324
2950,0000844114-0001-7,CY CASTRO CORPORATION,ALEJOS PRESTO TRATTORIA,8343 LINCOLN BLVD,westchester,8343 LINCOLN 90045-2413,,,,722110,Full-service restaurants,11,02/01/1993,,"(33.9616, -118.4208)",90045
2951,0000202797-0001-6,KDB RESTAURANTS INC,KOUNTRY FOLKS RESTAURANT,8501 SEPULVEDA BLVD,north hills,8501 SEPULVEDA 91343-5824,742 EISENHOWER WAY,SIMI VALLEY,93065-8360,722110,Full-service restaurants,6,02/10/1985,,"(34.2246, -118.4676)",91343
2952,0000641043-0001-2,OSCAR FLORES CAMACHO,CALIFORNIA MEXICAN GRILL,11106 W OLYMPIC BLVD,los angeles,11106 OLYMPIC 90064-1806,,,,722110,Full-service restaurants,5,09/09/1997,,"(34.0401, -118.4379)",90064
2953,0000380400-0001-9,LA PIZZA LLC,LA PIZZA,12515 BURBANK BLVD,n hollywood,12515 BURBANK 91607-1503,6542 N CHRISTIANA AVENUE,LINCOLNWOOD,60712-3812,722110,Full-service restaurants,2,01/01/1984,,"(34.1721, -118.4055)",91607
2954,0000392654-0002-1,ARMAN GROUP INC,,8133 W MANCHESTER AVENUE,playa del rey,8133 MANCHESTER 90293-8211,18200 SHEFFIELD LANE,NORTHRIDGE,91326-3609,722110,Full-service restaurants,11,03/19/2008,,"(33.9586, -118.4378)",90293
2955,0000841265-0004-1,TBS FOODS INC,JACK IN THE BOX # 270,4353 S FIGUEROA STREET,los angeles,4353 FIGUEROA 90037-2654,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,9,08/21/1989,,"(34.0044, -118.2827)",90037
2956,0000239637-0034-2,EL POLLO LOCO INC,EL POLLO LOCO #6005,8351 SUNLAND BLVD,sun valley,8351 SUNLAND 91352-3478,3535 HARBOR BLVD SUITE #100,COSTA MESA,92626-1494,722110,Full-service restaurants,6,07/31/2003,,"(34.2228, -118.366)",91352
2957,0002615995-0001-2,CARMEN ALEMAN,TACOS GUADALAJARA,15259 PARTHENIA STREET,north hills,15259 PARTHENIA 91343-5304,,,,722110,Full-service restaurants,6,05/25/2012,,"(34.2283, -118.464)",91343
2958,0002299374-0001-0,VIVA LA VIDA MARISCOS INC,VIVA LA VIDA | VIVA LA VIDA MARISCOS,8219 DE SOTO AVENUE,canoga park,8219 DE SOTO 91304-4343,,,,722110,Full-service restaurants,3,12/01/2007,,"(34.2189, -118.5885)",91304
2959,0000027256-0001-4,ROSEHEN CORP,MCDONALDS #3358/8009,2810 S FIGUEROA STREET,los angeles,2810 FIGUEROA 90007-3257,2202 S FIGUEROA STREET SUITE #4003,LOS ANGELES,90007-2049,722110,Full-service restaurants,9,06/01/1975,,"(34.0263, -118.2771)",90007
2960,0002577664-0001-0,HAYATS KITCHEN INC,HAYAT KITCHEN,11009 BURBANK BLVD UNIT #117,north hollywood,11009 BURBANK 91601-5741,,,,722110,Full-service restaurants,2,09/16/2011,,"(34.1721, -118.3707)",91601
2961,0000088566-0001-8,RIGO'S TACO #6 INC,RIGOS TACO #6,11324 VANOWEN STREET,n hollywood,11324 VANOWEN 91605-6320,671 N MACLAY AVENUE,SAN FERNANDO,91340-2136,722110,Full-service restaurants,2,09/26/1993,,"(34.1939, -118.3776)",91605
2962,0000159771-0001-9,MARIA DEL CARMEN SALAS,LA PARRILLA RESTAURANT,2126 E CESAR E CHAVEZ AVENUE,los angeles,2126 CESAR E CHAVEZ 90033-1823,,,,722110,Full-service restaurants,14,08/16/1978,,"(34.048, -118.2105)",90033
2963,0000138511-0001-1,GRANILLO INC,LA JUNGLA NIGHT CLUB,8568 SEPULVEDA BLVD,north hills,8568 SEPULVEDA 91343-5825,,,,722110,Full-service restaurants,6,10/26/2000,,"(34.2258, -118.4676)",91343
2964,0002701210-0001-3,ANABEL CORREA,MARTHA'S KITCHEN,2526 DALY STREET,los angeles,2526 DALY 90031-2223,2526 DALY STREET,LOS ANGELES,90031-2223,722110,Full-service restaurants,1,09/15/2013,,"(34.0761, -118.2157)",90031
2965,0002742003-0001-0,A3P LLC,TAWANNA THAI,6236 WILSHIRE BLVD,los angeles,6236 WILSHIRE 90048-5104,,,,722110,Full-service restaurants,5,01/24/2014,,"(34.0632, -118.3641)",90048
2966,0000710339-0001-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #6451,9824 NATIONAL BLVD SUITE #A,los angeles,9824 NATIONAL 90034-2713,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,5,10/19/2002,,"(34.031, -118.4014)",90034
2967,0002619319-0001-1,WATCHARAPON PANYAM / RUNGRAVE CHIRTCHUBUPAGAREE,RAMA THAI CUISINE,625 S HILL STREET SUITE #B68-69,los angeles,625 HILL 90014-4003,,,,722110,Full-service restaurants,14,06/04/2012,,"(34.047, -118.2533)",90014
2968,0000877534-0001-8,GREEK KABOB INC,GREEK KEBOB,11911 W OLYMPIC BLVD,los angeles,11911 OLYMPIC 90064-1115,,,,722110,Full-service restaurants,11,01/01/1990,,"(34.0327, -118.4516)",90064
2969,0002705978-0001-8,EVELIA GUTIERREZ,CHABELITA'S RESTAURANT,10767 SAN FERNANDO ROAD,pacoima,10767 SAN FERNANDO 91331-2628,,,,722110,Full-service restaurants,7,10/04/2013,,"(34.2654, -118.4214)",91331
2970,0003290965-0001-9,8ONE8 TACOS INC.,COSTA GRANDE RESTAURANT,7139 Sepulveda #A,van nuys,7139 SEPULVEDA 91405,7139 Sepulveda #A,Van Nuys,91405-2930,722110,Full-service restaurants,6,07/01/2021,,"(34.2003, 34.2003)",91405
2971,0002690647-0003-0,BURGER LOUNGE III LLC,BURGER LOUNGE,13450 MAXELLA AVENUE SUITE #206-111,marina del rey,13450 MAXELLA 90292-5629,1917 INDIA STREET SUITE #C,SAN DIEGO,92101-2250,722110,Full-service restaurants,11,05/11/2015,,"(33.987, -118.4406)",90292
2972,0003258504-0001-2,"SHIN-SEN-GUMI E-MANAGEMENT, INC.",,132 S CENTRAL AVENUE,los angeles,132 CENTRAL 90012-3913,17840 S WESTERN AVENUE,GARDENA,90248-3620,722110,Full-service restaurants,14,07/01/2021,,"(34.0487, -118.2391)",90012
2973,0002800861-0001-3,NICKER MANCHESTER INC,,1406 W MANCHESTER AVENUE,los angeles,1406 MANCHESTER 90047-5422,20790 LEAPWOOD AVENUE,CARSON,90746-3610,722110,Full-service restaurants,8,01/01/2014,,"(33.96, -118.3003)",90047
2974,0000243530-0001-9,MAMORU HANAMURE,MITSURU GRILL,316 E 1ST STREET,los angeles,316 1ST 90012-3902,,,,722110,Full-service restaurants,14,12/01/1976,,"(34.0501, -118.2404)",90012
2975,0002623386-0001-6,LA FUENTE BAR & GRILL INC,,2256 COLORADO BLVD SUITE #105,los angeles,2256 COLORADO 90041-1164,,,,722110,Full-service restaurants,14,07/01/2012,,"(34.1393, -118.2154)",90041
2976,0002743535-0001-8,LA CONQ LLC,EL CONDOR,3701 W SUNSET BLVD,los angeles,3701 SUNSET 90026-1527,,,,722110,Full-service restaurants,13,04/01/2014,,"(34.0904, -118.2777)",90026
2977,0000671318-0001-8,"MCTO, INC.",MARIE CALLENDERS #17,11324 NATIONAL BLVD,los angeles,11324 NATIONAL 90064-3727,12402 WASHINGTON BLVD,WHITTIER,90602-1005,722110,Full-service restaurants,11,06/16/2004,,"(34.0259, -118.4321)",90064
2978,0003291703-0001-9,PIE HOLE 2 INC,THE PIE HOLE,714 TRACTION AVENUE,los angeles,714 Traction 90013-1814,12906 GRAPE HARVEST DRIVE,RANCHO CUCAMONGA,91739-8754,722110,Full-service restaurants,14,01/01/2021,,"(34.0455, -118.2364)",90013
2979,0002290395-0001-6,PENG JIANG XIE,CHINA EXPRESS RESTAURANT,20423 SHERMAN WAY,winnetka,20423 SHERMAN 91306-3109,,,,722110,Full-service restaurants,3,11/13/2007,,"(34.2011, -118.578)",91306
2980,0002732724-0001-2,WEI HAO ZHANG,GOLDEN HUNAN CHINESE RESTAURANT,10334 RESEDA BLVD,porter ranch,10334 RESEDA 91326-3433,,,,722110,Full-service restaurants,12,02/25/2014,,"(34.2579, -118.5361)",91326
2981,0000529200-0001-1,JAMMIN INTERNATIONAL GROUP INC,WI JAMMIN CARRIBBEAN RESTAURANT,5103 W PICO BLVD,los angeles,5103 PICO 90019-4133,,,,722110,Full-service restaurants,10,07/20/1998,,"(34.0479, -118.3493)",90019
2982,0003194785-0001-3,ROLL SPOT LITTLE TOKYO INC,ROLL SPOT SUSHI & DESSERT,134   ASTRONAUT E S ONIZUKA STREET   UNIT #101C,los angeles,134 ASTRONAUT E S ONIZUKA 90012-3810,134   ASTRONAUT E S ONIZUKA STREET   UNIT #101C,LOS ANGELES,90012-3810,722110,Full-service restaurants,14,05/01/2020,,"(34.0501, -118.2418)",90012
2983,0003312599-0001-4,ASIA TASTY INC,,12980 FOOTHILL BLVD,sylmar,12980 FOOTHILL 91342-4956,,,,722110,Full-service restaurants,0,01/01/2021,,"(34.2957, -118.4181)",91342
2984,0003290828-0001-0,KHJD CORPORATION,,235 S Gaffey,san pedro,235 GAFFEY 90731,235 S Gaffey,San Pedro,90731-2431,722110,Full-service restaurants,15,01/01/2022,,"(33.7421, 33.7421)",90731
2985,0003291684-0001-4,"HANSHIK UNLIMITED, LLC",HANSHIK EXPRESS,3935 WILSHIRE BLVD SUITE #A3,los angeles,3935 WILSHIRE 90010,2525 W 8th #300,Los Angeles,90057-5239,722110,Full-service restaurants,0,01/20/2022,,"(0.0, 0.0)",90010
2986,0003292796-0001-2,JADORE INC,JADORE,940 BROXTON AVENUE,los angeles,940 Broxton 90024-2802,,,,722110,Full-service restaurants,5,03/01/2021,,"(34.0632, -118.4469)",90024
2987,0000157152-0001-2,JACK IN THE BOX INC,,6800 DE SOTO AVENUE,canoga park,6800 DE SOTO 91303-2210,9357   SPECTRUM CENTER BLVD,SAN DIEGO,92123-1444,722110,Full-service restaurants,3,09/27/1994,,,91303
2988,0003294622-0001-5,EL SABOR LATINO CORP,,14540 VANOWEN STREET,van nuys,14540 VANOWEN 91405-3940,2253 BURNSIDE STREET,SIMI VALLEY,93065-2516,722110,Full-service restaurants,6,01/01/2022,,"(34.1938, -118.449)",91405
2989,0003291719-0001-0,SUPER CHARBURGERS INC,,7700 FOOTHILL BLVD,tujunga,7700 FOOTHILL 91042-2121,7700 FOOTHILL BLVD,TUJUNGA,91042-2121,722110,Full-service restaurants,0,02/01/2022,,,91042
2990,0002484404-0001-1,NAMO CORP,GALA THAI,3353 BARHAM BLVD,los angeles,3353 BARHAM 90068-1446,,,,722110,Full-service restaurants,4,01/14/2010,,"(34.1319, -118.3444)",90068
2991,0003294649-0001-4,GODINEZ HOSPITALITY GROUP,POLANCO MODERN MEXICAN RESTAURANT,840 S Spring,los angeles,840 SPRING 90014,1714 N Flower,Santa Ana,92706-3627,722110,Full-service restaurants,14,02/14/2022,,"(34.0421, 34.0421)",90014
2992,0002757399-0001-7,LOS GRINGOS LOCOS LLC,LOS GRINGOS LOCOS PPG CAFE,12780 SAN FERNANDO ROAD,sylmar,12780 SAN FERNANDO 91342-3728,631 FOOTHILL BLVD,LA CANADA,91011-3403,722110,Full-service restaurants,7,01/15/2014,,"(34.3018, -118.4618)",91342
2993,0000799945-0001-1,KENNY/PY CHAO,CATCH 21 DOWNTOWN,441 S CENTRAL AVENUE,los angeles,441 CENTRAL 90013-1711,,,,722110,Full-service restaurants,14,12/20/1990,,"(34.0424, -118.2397)",90013
2994,0003292353-0001-1,C & D NOODLES INC.,PHO NOHO,5077 LANKERSHIM BLVD UNIT #D,north hollywood,5077 Lankershim 91601-4299,,,,722110,Full-service restaurants,2,01/11/2022,,"(34.1627, -118.374)",91601
2995,0000025812-0001-6,JINTANA NOOCHLA-OR,SAPP COFFEE SHOP,5183 HOLLYWOOD BLVD,los angeles,5183 HOLLYWOOD 90027-6113,,,,722110,Full-service restaurants,13,10/01/1992,,"(34.1017, -118.3028)",90027
2996,0000935454-0002-1,P F CHANG'S CHINA BISTRO INC,PF CHANG'S CHINA BISTRO,21821 OXNARD STREET,woodland hills,21821 OXNARD 91367-3620,8377 E HARTFORD DRIVE SUITE #200,SCOTTSDALE,85255-5687,722110,Full-service restaurants,3,07/17/2000,,"(34.1792, -118.6032)",91367
2997,0000980343-0001-1,CRENSHAW CHRISTIAN CENTER CHURCH OF LOS ANGELES COUNTY /C,,7901 S VERMONT AVENUE,los angeles,7901 VERMONT 90044-3531,POST OFFICE BOX #4444E,LOS ANGELES,90044-0404,722110,Full-service restaurants,8,01/01/1991,,"(33.9677, -118.2917)",90044
2998,0000572520-0001-3,TAKAAKI KOYAMA,DAIKOKUYA,327 E 1ST STREET,los angeles,327 1ST 90012-3901,139 N CITRUS AVENUE,COVINA,91723-2002,722110,Full-service restaurants,14,02/01/2002,,"(34.0499, -118.2401)",90012
2999,0002775384-0001-9,MANNA GRILL LLC,,5539 W MANCHESTER AVENUE,los angeles,5539 MANCHESTER 90045-4413,12643 SHERMAN WAY UNIT #A,NORTH HOLLYWOOD,91605-5271,722110,Full-service restaurants,11,11/10/2014,,"(33.9599, -118.3779)",90045
3000,0002497872-0001-8,SIETE AZUL LLC,EL CHOLO DOWNTOWN,1037 S FLOWER STREET,los angeles,1037 FLOWER 90015-1401,800 E WHITTIER BLVD APT #A,LA HABRA,90631-3933,722110,Full-service restaurants,14,04/30/2010,,"(34.0436, -118.2634)",90015
3001,0003291434-0001-0,HONEY BEES HOUSE OF BREAKFAST INC,HONEY BEES HOUSE OF BREAKFAST INC,4715 W Adams,los angeles,4715 ADAMS 90016,4715 W Adams,Los Angeles,90016-2901,722110,Full-service restaurants,10,01/01/2022,,"(34.0328, 34.0328)",90016
3002,0002323973-0001-1,LUIS PACHECO,,4150 AVALON BLVD,los angeles,4150 AVALON 90011-5643,,,,722110,Full-service restaurants,9,01/01/2007,,"(34.0081, -118.2652)",90011
3003,0002678947-0002-1,KREATION JUICERY INC,KREATION & 3RD KAFE,8426 W 3RD STREET,los angeles,8426 3RD 90048-4112,25324   FRAMPTON AVENUE,HARBOR CITY,90710-2903,722110,Full-service restaurants,5,03/01/2015,,,90048
3004,0002538271-0001-9,STUFF N WINGS INC,,1827 S VERMONT AVENUE,los angeles,1827 VERMONT 90006-4525,,,,722110,Full-service restaurants,0,01/01/2002,,,90006
3005,0003313334-0001-1,REMNANT FOUNDATION INC,,601 Wilshire,los angeles,601 WILSHIRE 90017,601 Wilshire,Los Angeles,90017-3207,722110,Full-service restaurants,14,04/22/2022,,"(34.0484, 34.0484)",90017
3006,0003294490-0001-5,CAFE CALLE LLC,,3310 S CENTRAL AVENUE,los angeles,3310 Central 90011-2518,4060 W 21ST STREET,LOS ANGELES,90018-1026,722110,Full-service restaurants,9,07/07/2021,,"(34.0133, -118.2562)",90011
3007,0003296389-0001-9,CARLOS HENRIQUE P DE JESUS MORALEZ,,3120 W 185TH STREET,torrance,3120 185th 90504-5004,,,,722110,Full-service restaurants,0,03/01/2022,,"(33.8626, -118.3275)",90504
3008,0002683382-0004-1,"APELILA AND J, LLC",ONO HAWAIIAN BBQ,7948   VAN NUYS BLVD,van nuys,7948 VAN NUYS 91402-0000,1315 VALLEY VISTA DRIVE,DIAMOND BAR,91765-3928,722110,Full-service restaurants,6,06/02/2017,,"(0.0, 0.0)",91402
3009,0003297244-0003-7,SUNSET FOOD GROUP LLC,TODOS SANTOS,5946 W SUNSET BLVD,los angeles,5946 Sunset 90028-6521,,,,722110,Full-service restaurants,13,02/14/2022,,"(34.0978, -118.3194)",90028
3010,0000879396-0001-7,BAN YAD CORP,ELAT BURGER,9340 W PICO BLVD,los angeles,9340 PICO 90035-1255,,,,722110,Full-service restaurants,5,07/10/2002,,"(34.0552, -118.394)",90035
3011,0000618973-0002-7,RCSH OPERATIONS INC,RUTH'S CHRIS STEAK HOUSE,13455 MAXELLA AVENUE SUITE #230,marina del rey,13455 MAXELLA 90292-5682,1030 W CANTON AVENUE SUITE #100,WINTER PARK,32789-3050,722110,Full-service restaurants,11,07/25/2014,,"(33.9869, -118.4407)",90292
3012,0002715527-0001-9,JNCD INVESTMENT CORP,CAFE MAK; CAFE MAK BAKERY,612 SHATTO PLACE,los angeles,612 SHATTO 90005-1301,,,,722110,Full-service restaurants,10,10/09/2013,,"(34.0631, -118.2899)",90005
3013,0003290996-0001-4,FLAVOR TABLE LLC,FLAVOR TABLE LLC,2812 W Florence BUILDING,los angeles,2812 FLORENCE 90043,,,,722110,Full-service restaurants,8,01/03/2022,,"(33.9743, 33.9743)",90043
3014,0000375051-0001-9,CALIFORNIA DONUTS #21 INC,CALIFORNIA DONUTS,3540 W 3RD STREET,los angeles,3540 3RD 90020-2013,,,,722110,Full-service restaurants,10,01/06/1982,,"(34.069, -118.2929)",90020
3015,0003291922-0001-8,HEAVENLY GOOD BURGERS,HEAVENLY GOOD BURGERS,4116 Crenshaw,los angeles,4116 CRENSHAW 90008,4116 Crenshaw,Los Angeles,90008-2584,722110,Full-service restaurants,10,01/07/2022,,"(34.0094, 34.0094)",90008
3016,0000860510-0001-5,EK HIM LIM CO INC,KIM CHUY RESTAURANT,727 N BROADWAY #103,los angeles,727 BROADWAY 90012-2864,,,,722110,Full-service restaurants,1,01/01/1991,,"(34.0608, -118.239)",90012
3017,0000063498-0004-5,TOMDAN ENTERPRISES INC,ORIGINAL WORLD FAMOUS TOMMYS HAMBURGERS,7240 TOPANGA CANYON BLVD,canoga park,7240 TOPANGA CANYON 91303-1239,831 E HUNTINGTON DRIVE,MONROVIA,91016-3612,722110,Full-service restaurants,3,05/25/1988,,"(34.202, -118.6059)",91303
3018,0002974754-0001-4,MEKCO 9 INC,NOODLE WORLD JR.,14622   VENTURA BLVD,sherman oaks,14622 VENTURA 91403-3600,429 S PALM AVENUE,ALHAMBRA,91803-1422,722110,Full-service restaurants,4,03/16/2017,,"(34.151, -118.4521)",91403
3019,0000111880-0014-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #6961,15355 SHERMAN WAY,van nuys,15355 SHERMAN 91406-4200,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,6,11/01/2010,,"(34.2012, -118.4679)",91406
3020,0000079515-0001-6,HUOT EANG/MUY HEANG SIN,DAILY DONUTS,15757 ROSCOE BLVD,north hills,15757 ROSCOE 91343-6407,,,,722110,Full-service restaurants,6,12/01/1992,,"(34.2213, -118.4757)",91343
3021,0000028087-0001-1,JANE H MELVILLE,,11317 COLLINS STREET,n hollywood,11317 COLLINS 91601-1808,,,,722110,Full-service restaurants,2,07/15/2003,,"(34.1739, -118.3773)",91601
3022,0003034139-0001-1,MULTIWAY BUR INC DBA MUDDLE & TWIST,MUDDLE & TWIST,10863   MAGNOLIA BLVD,north hollywood,10863 MAGNOLIA 91601-3928,10865 MAGNOLIA BLVD,NORTH HOLLYWOOD,91601-3928,722110,Full-service restaurants,2,03/01/2018,,"(34.1652, -118.3679)",91601
3023,0003040285-0001-6,GITANA LLC,,533   ROSE AVENUE,venice,533 ROSE 90291-2680,1114   OAKWOOD AVENUE,VENICE,90291-3418,722110,Full-service restaurants,11,05/05/2018,,"(33.9989, -118.4731)",90291
